Monarch_ID,Temperature_treatment,Monarch_family,Monarch_sex,Caterpillar_proportion_black,Adult_percent_black,Adult_wingsize_mm2,Adult_wing_measured,Wing_aspect_ratio,Monarch_development_time_days,Monarch_growth_rate,Experiment_type
C1,C,EJRB1,F,0.35812133,0.72867157,959.223888,right,1.860969611,23,41.70538643,lab
C10,C,EJRB1,F,0.41935484,0.72209692,918.4999551,right,1.777231599,23,39.93478066,lab
C11,C,EJRB1,F,0.39459459,0.75195886,801.4320889,right,1.899981768,22,36.42873131,lab
C12,C,EJRB1,F,0.45564516,0.70920698,817.4392253,right,1.806522994,22,37.15632842,lab
C13,C,EJRB1,M,0.51388889,0.61600682,865.8477307,right,1.831092407,22,39.35671503,lab
C14,C,EJRB1,M,0.42334495,0.61655706,875.2598982,right,1.8294254,23,38.05477818,lab
C15,C,EJRB1,F,0.57321429,0.78361471,878.9229733,left,1.814983111,24,36.62179055,lab
C17,C,EJRB1,M,0.57763975,0.63537835,908.1128791,left,1.811270638,23,39.48316866,lab
C18,C,EJRB1,M,0.41726619,0.63247479,829.6685916,right,1.893737761,23,36.07254746,lab
C2,C,EJRB1,F,0.32352941,0.72336308,848.256368,right,1.860214269,23,36.88071165,lab
C20,C,EJRB1,F,0.45913043,0.75667512,814.0198773,right,1.806411798,22,37.00090351,lab
C21,C,EJRB1,F,0.44668008,0.70577181,816.3496218,right,1.915118166,22,37.10680099,lab
C22,C,EJRB1,M,0.52559055,0.62736515,877.8118644,left,1.841492101,22,39.90053929,lab
C23,C,EJRB1,F,0.31683168,0.70205905,875.9265636,right,1.845167375,24,36.49694015,lab
C24,C,EJRB1,F,0.48453608,0.71093242,859.3674569,right,1.856477977,23,37.36380247,lab
C26,C,EJRB1,M,0.34317343,0.63250648,849.3244662,right,1.84407128,23,36.9271507,lab
C28,C,EJRB1,M,0.38568588,0.60176544,880.2993147,right,1.888018938,23,38.27388325,lab
C29,C,EJRB1,F,0.44123711,0.70285254,809.4392413,right,1.832324014,25,32.37756965,lab
C3,C,EJRB1,M,0.47851563,0.63922313,879.9193871,right,1.899225811,23,38.25736466,lab
C30,C,EJRB1,F,0.578125,0.69194908,839.546708,right,1.829659653,24,34.98111283,lab
C31,C,EJRB1,M,0.45746692,0.62779873,771.5970231,right,1.835587642,28,27.55703654,lab
C32,C,EJRB1,F,0.46484375,0.69557679,913.7186027,right,1.832563888,24,38.07160845,lab
C33,C,EJRB1,M,0.37115385,0.64205837,788.4572044,left,1.866691382,22,35.83896384,lab
C34,C,EJRB1,F,0.45062837,0.73257603,787.546812,right,1.840742144,23,34.24116574,lab
C35,C,EJRB1,F,0.40515654,0.69462393,848.70798,right,1.837671624,23,36.90034696,lab
C36,C,EJRB1,F,0.48888889,0.73198951,918.2203858,right,1.808884862,24,38.25918274,lab
C37,C,EJRB1,M,0.56505576,0.60629687,890.0125569,right,1.833071411,23,38.69619813,lab
C39,C,EJRB1,M,0.3926499,0.62532284,921.4891964,right,1.866865935,24,38.39538318,lab
C4,C,EJRB1,F,0.41057543,0.76039604,890.5358533,right,1.898721708,23,38.71895014,lab
C40,C,EJRB1,M,0.48229342,0.64867012,884.2778013,left,1.866121249,25,35.37111205,lab
C41,C,EJRB1,F,0.47014925,0.71390629,871.7832027,right,1.920754062,24,36.32430011,lab
C46,C,RBUL5,M,0.36053131,0.62154955,903.2096631,right,1.926026894,23,39.26998535,lab
C47,C,RBUL5,F,0.46292585,0.70354853,925.6182204,right,1.913504662,23,40.24427045,lab
C48,C,RBUL5,M,0.4362069,0.62458953,836.0915178,right,1.914930927,23,36.35180512,lab
