Monarch_ID,Plant_ID,Milkweed_species,Monarch_family,Monarch_sex,Caterpillar_proportion_black,Adult_percent_black,Adult_wingsize_mm2,Adult_wing_measured,Wing_aspect_ratio,Milkweed_cardenolide_category,Monarch_development_time_days,Monarch_growth_rate,Experiment_type
170_1_cur_427,170_1,A. curassavica,UL5,F,0.25178571,0.6924583,951.93358,right,1.900452443,high,20,47.596679,greenhouse
170_2_cur_102,170_2,A. curassavica,RB8,F,0.32007952,0.768319529,905.2741751,right,1.951438749,high,22,41.14882614,greenhouse
170_3_cur_11,170_3,A. curassavica,UL1,M,NA,0.614702248,974.5643591,left,1.827744759,high,NA,NA,greenhouse
170_4_cura,170_4,A. curassavica,RB4,NA,0.34328358,NA,NA,NA,NA,high,NA,NA,greenhouse
170_5_cur,170_5,A. curassavica,AT1,NA,0.35670103,NA,NA,NA,NA,high,NA,NA,greenhouse
170_bulk_cur,170_b,A. curassavica,EJ4,F,0.16442451,NA,NA,NA,NA,high,NA,NA,greenhouse
173_1_cur_277,173_1,A. curassavica,RB4,M,0.30932897,0.633198374,888.8010898,right,1.9394682,high,21,42.32386142,greenhouse
180_1_cur_279,180_1,A. curassavica,EJ6,F,0.20740741,0.764118287,869.7617013,left,2.054937075,high,20,43.48808507,greenhouse
180_10_cur_470,180_1,A. curassavica,RB4,M,0.48763251,0.577847237,924.2418791,right,1.881876938,high,NA,NA,greenhouse
180_2_cura,180_2,A. curassavica,EJ7,NA,0.25270758,NA,NA,NA,NA,high,NA,NA,greenhouse
180_3_cur_519,180_3,A. curassavica,UL4,M,0.34744268,0.625522572,953.3744373,right,1.931473693,high,21,45.39878273,greenhouse
180_3_cura(2),180_3,A. curassavica,UL4,NA,0.37732657,NA,NA,NA,NA,high,NA,NA,greenhouse
180_4_cur_246,180_4,A. curassavica,RB2,F,0.3264,0.81190509,884.8942876,left,1.862655703,high,20,44.24471438,greenhouse
180_5_cur_133,180_5,A. curassavica,UL4,F,0.21143847,0.79934555,876.2706489,right,1.864037832,high,20,43.81353245,greenhouse
180_7_cur_167,180_7,A. curassavica,EJ4,M,0.13270142,0.660800384,955.9909196,right,1.941371772,high,19,50.31531156,greenhouse
180_9_cur_137,180_9,A. curassavica,AT1,M,0.31028668,0.648754448,987.0231156,right,1.921827157,high,23,42.9140485,greenhouse
181_2_cur_76,181_2,A. curassavica,RB7,F,NA,0.704235612,964.3421573,right,1.963084873,high,21,45.92105511,greenhouse
181_4_cur_100,181_4,A. curassavica,RB1,M,0.16589862,0.605893523,939.9766147,right,1.931872528,high,20,46.99883074,greenhouse
181_5_cura,181_5,A. curassavica,RB12,F,0.07706422,NA,NA,NA,NA,high,NA,NA,greenhouse
181_6_cur_330,181_6,A. curassavica,EJ6,M,0.28571429,0.666078845,812.9947898,left,2.078264362,high,20,40.64973949,greenhouse
181_7_cur_22,181_7,A. curassavica,RB1,M,0.35971223,0.607960612,933.2669507,left,1.911318841,high,21,44.44128337,greenhouse
181_bulk_cur,181_b,A. curassavica,RB1,NA,0.29396985,NA,NA,NA,NA,high,NA,NA,greenhouse
185_1_cur_355,185_1,A. curassavica,EJ6,M,NA,0.582897507,949.869068,right,1.968872612,high,21,45.23186038,greenhouse
12.2_2_erio_248,12.2_,A. eriocarpa,EJ6,M,0.39770554,0.630749422,901.9121747,right,1.892149082,high,23,39.21357281,greenhouse
12.2_3_erio,12.2_,A. eriocarpa,EJ4,NA,0.44444444,NA,NA,NA,NA,high,NA,NA,greenhouse
13A_1_erio_598,13A_1,A. eriocarpa,UL1,M,0.27668845,0.625004868,920.3637507,right,1.817262712,high,22,41.83471594,greenhouse
13A_2_erio_134,13A_2,A. eriocarpa,RB7,F,0.2754591,0.687680248,917.1952982,right,1.941649632,high,23,39.87805644,greenhouse
13A_3_erio_73,13A_3,A. eriocarpa,EJ7,M,0.29979466,0.656686481,882.7509227,left,1.92836992,high,25,35.31003691,greenhouse
13A_3(2),13A_3,A. eriocarpa,EJ7,NA,0.48758465,NA,NA,NA,NA,high,NA,NA,greenhouse
13A_4_erio,13A_4,A. eriocarpa,RB7,NA,0.35087719,NA,NA,NA,NA,high,NA,NA,greenhouse
13a_4_erio(2),13a_4,A. eriocarpa,RB7,NA,0.23782772,NA,NA,NA,NA,high,NA,NA,greenhouse
48_4_erio_261,48_4_,A. eriocarpa,EJ6,M,0.23504274,0.646614919,963.2167116,right,1.957513442,high,24,40.13402965,greenhouse
51.1_5_erio_377,51.1_,A. eriocarpa,RB4,F,0.17001828,0.677420341,937.4676591,right,1.97923728,high,23,40.75946344,greenhouse
69_2_erio_437,69_2_,A. eriocarpa,RB12,M,0.34577603,0.582669173,1002.872546,left,1.985043023,high,24,41.78635608,greenhouse
69_3_erio/69_2_erio_323,69_3_,A. eriocarpa,UL4,M,0.34401709,0.639053719,1005.101932,right,1.934374194,high,NA,NA,greenhouse
71.4_4_erio_590,71.4_,A. eriocarpa,RB4,F,0.32307692,0.756693346,913.54656,right,1.959271034,high,23,39.71941565,greenhouse
207_2_erosa,207_2,A. erosa,EJ6,NA,0.19430486,NA,NA,NA,NA,high,NA,NA,greenhouse
207_3_erosa,207_3,A. erosa,EJ7,NA,0.49015317,NA,NA,NA,NA,high,NA,NA,greenhouse
207_4_erosa_195,207_4,A. erosa,EJ4,F,0.4504644,0.753969996,881.61114,right,1.933806132,high,20,44.080557,greenhouse
58A_1_erosa,58A_1,A. erosa,RB1,NA,0.26895307,NA,NA,NA,NA,high,NA,NA,greenhouse
58A_3_erosa,58A_3,A. erosa,RB12,NA,0.2125,NA,NA,NA,NA,high,NA,NA,greenhouse
63_2_erosa,63_2_,A. erosa,RB2,F,0.31144781,NA,NA,NA,NA,high,NA,NA,greenhouse
63_4_erosa_280,63_4_,A. erosa,EJ6,M,0.21445221,0.648593692,944.7938093,right,1.926933926,high,24,39.36640872,greenhouse
64.1_1_erosa,64.1_,A. erosa,EJ7,NA,0.22689076,NA,NA,NA,NA,high,NA,NA,greenhouse
